Client Type,Last Application Version,Push Enabled,Client Registration Date
"iOS 13.4 iPhone10,4",8.18.20,1,2017-12-24T18:11:40Z
Android 9 xiaomi Mi A2 jasmine_sprout 9,8.16.68,0,2019-04-23T11:16:35Z
